"page","term","title","authors","year","n_citations","abstract"
1,"miR-28a-5p","[HTML][HTML] PGE2 induces apoptosis of hepatic stellate cells and attenuates liver fibrosis in mice by downregulating miR-23a-5p and miR-28a-5p","R Brea, O Motiño, D Francés, C García-Monzón","2018",49,"… Hepatocyte COX-2 expression represses miR-23a-5p and miR-28a-5p expression in HSC 
and exerts a protective effect in the process of liver fibrosis through the activation of apoptosis …"
1,"miR-28a-5p","GAS5 protects against nonalcoholic fatty liver disease via miR-28a-5p/MARCH7/NLRP3 axis-mediated pyroptosis","T Chen, Y Meng, Z Zhou, H Li, L Wan, A Kang","2023",7,"… as a sponge of miR-28a-5p, and miR-28a-5p enhanced … As expected, MARCH7 knockdown 
abolished the miR-28a-5p … by binding to miR-28a-5p, miR-28a-5p promoted NAFLD …"
1,"miR-28a-5p","… E2 dependiente de ciclooxigenasa-2 en el desarrollo de la esteatohepatitis no alcohólica y la fibrosis hepática. Implicación de miR-23a-5p y miR-28a-5p","R Brea Contreras","2018",NA,"… expression pattern of miR-23a-5p and miR-28a-5p, and its relationship with PGE2 in liver … 
expression of miR-23a-5p and miR-28a-5p in HSC, which reduces proliferation and increases …"
1,"miR-28a-5p","… E2 dependiente de ciclooxigenasa-2 en el desarrollo de la esteatohepatitis no alcohólica y la fibrosis hepática. Implicación de miR-23a-5p y miR-28a-5p","R Brea","2018",NA,"… expression pattern of miR-23a-5p and miR28a-5p, and its relationship with PGE2 in liver … 
expression of miR-23a-5p and miR-28a-5p in HSC, which reduces proliferation and increases …"
