"page","term","title","authors","year","n_citations","abstract"
1,"miR-28a","[HTML][HTML] PGE2 induces apoptosis of hepatic stellate cells and attenuates liver fibrosis in mice by downregulating miR-23a-5p and miR-28a-5p","R Brea, O Motiño, D Francés, C García-Monzón","2018",NA,"… miR-23a and miR-28a were found to be downregulated by PGE 2 in a TGF-β-dependent … 
Based on our findings, we propose that miR-23a and miR-28a are part of a novel signaling …"
1,"miR-28a","GAS5 protects against nonalcoholic fatty liver disease via miR-28a-5p/MARCH7/NLRP3 axis-mediated pyroptosis","T Chen, Y Meng, Z Zhou, H Li, L Wan, A Kang","2023",NA,"… as a sponge of miR-28a-5p, and miR-28a-5p enhanced … As expected, MARCH7 knockdown 
abolished the miR-28a-5p … development by binding to miR-28a-5p, miR-28a-5p promoted …"
1,"miR-28a","… prostaglandina E2 dependiente de ciclooxigenasa-2 en el desarrollo de la esteatohepatitis no alcohólica y la fibrosis hepática. Implicación de miR-23a-5p y miR-28a …","R Brea Contreras","2018",NA,"… , the expression pattern of miR-23a-5p and miR-28a-5p, and its relationship with PGE2 in … 
the expression of miR-23a-5p and miR-28a-5p in HSC, which reduces proliferation and …"
1,"miR-28a","… prostaglandina E2 dependiente de ciclooxigenasa-2 en el desarrollo de la esteatohepatitis no alcohólica y la fibrosis hepática. Implicación de miR-23a-5p y miR-28a …","R Brea","2018",NA,"… , the expression pattern of miR-23a-5p and miR28a-5p, and its relationship with PGE2 in … 
the expression of miR-23a-5p and miR-28a-5p in HSC, which reduces proliferation and …"
