"MiRNA"
"mmu-miR-18a-5p"
"mmu-miR-185-5p"
"mmu-miR-21a-5p"
"mmu-miR-381-3p"
"mmu-miR-487b-3p"
"mmu-miR-665-3p"
"mmu-miR-132-3p"
"mmu-miR-212-3p"
"mmu-miR-135a-5p"
"mmu-miR-3473e"
"mmu-miR-106b-5p"
"mmu-miR-130b-3p"
"mmu-miR-17-5p"
"mmu-miR-449a-5p"
"mmu-miR-7a-5p"
"mmu-miR-363-3p"
"mmu-miR-92a-3p"
"mmu-let-7a-5p"
"mmu-miR-15b-5p"
